date_of_record,month,season,station_name,state,district,avg_temp,min_temp,max_temp,wind_speed,air_pressure,elevation,latitude,longitude,rainfall
09/10/2021,October,Post-monsoon,Gulmarg,JK,Baramulla,10.4,6.2,15.2,2.9,1019.9,2652,34.05,74.4,0.0
14/10/2021,October,Post-monsoon,Gulmarg,JK,Baramulla,9.4,6.0,13.1,3.7,1020.8,2652,34.05,74.4,0.1
19/10/2021,October,Post-monsoon,Gulmarg,JK,Baramulla,7.2,2.8,11.6,3.1,1017.3,2652,34.05,74.4,0.4
24/10/2021,October,Post-monsoon,Gulmarg,JK,Baramulla,1.8,-1.8,4.1,2.0,1021.0,2652,34.05,74.4,4.2
29/10/2021,October,Post-monsoon,Gulmarg,JK,Baramulla,3.7,-0.7,7.8,2.4,1027.2,2652,34.05,74.4,0.1
03/11/2021,November,Post-monsoon,Gulmarg,JK,Baramulla,1.4,-1.1,4.2,2.7,1027.1,2652,34.05,74.4,1.0
08/11/2021,November,Post-monsoon,Gulmarg,JK,Baramulla,3.7,2.0,6.2,3.0,1024.8,2652,34.05,74.4,0.0
13/11/2021,November,Post-monsoon,Gulmarg,JK,Baramulla,4.8,0.6,8.6,2.9,1021.8,2652,34.05,74.4,0.0
18/11/2021,November,Post-monsoon,Gulmarg,JK,Baramulla,3.3,-0.7,7.9,3.3,1019.4,2652,34.05,74.4,0.0
23/11/2021,November,Post-monsoon,Gulmarg,JK,Baramulla,5.0,2.6,8.3,2.3,1017.4,2652,34.05,74.4,0.0
28/11/2021,November,Post-monsoon,Gulmarg,JK,Baramulla,2.1,-1.4,5.7,2.7,1024.9,2652,34.05,74.4,0.0
03/12/2021,December,Winter,Gulmarg,JK,Baramulla,4.1,1.1,7.4,2.1,1025.0,2652,34.05,74.4,0.0
08/12/2021,December,Winter,Gulmarg,JK,Baramulla,1.4,-4.0,3.9,1.9,1022.4,2652,34.05,74.4,0.0
13/12/2021,December,Winter,Gulmarg,JK,Baramulla,-0.3,-3.3,2.5,1.8,1018.9,2652,34.05,74.4,0.0
18/12/2021,December,Winter,Gulmarg,JK,Baramulla,-2.9,-6.6,0.0,3.9,1022.6,2652,34.05,74.4,0.0
23/12/2021,December,Winter,Gulmarg,JK,Baramulla,-1.3,-6.1,1.7,2.1,1016.1,2652,34.05,74.4,1.8
28/12/2021,December,Winter,Gulmarg,JK,Baramulla,-5.9,-7.8,-3.4,2.8,1021.6,2652,34.05,74.4,0.5
02/01/2022,January,Winter,Gulmarg,JK,Baramulla,-4.5,-11.3,-1.6,2.9,1024.3,2652,34.05,74.4,1.4
07/01/2022,January,Winter,Gulmarg,JK,Baramulla,-3.1,-4.0,-2.0,2.8,1013.1,2652,34.05,74.4,21.2
12/01/2022,January,Winter,Gulmarg,JK,Baramulla,-4.6,-9.4,-2.8,2.2,1018.3,2652,34.05,74.4,0.0
17/01/2022,January,Winter,Gulmarg,JK,Baramulla,-2.1,-3.8,0.6,2.4,1022.7,2652,34.05,74.4,7.6
22/01/2022,January,Winter,Gulmarg,JK,Baramulla,-5.6,-8.0,-2.6,3.1,1011.0,2652,34.05,74.4,5.7
27/01/2022,January,Winter,Gulmarg,JK,Baramulla,-6.4,-7.8,-3.2,4.7,1014.8,2652,34.05,74.4,0.0
01/02/2022,February,Winter,Gulmarg,JK,Baramulla,-5.6,-12.7,-1.6,5.0,1009.6,2652,34.05,74.4,0.3
06/02/2022,February,Winter,Gulmarg,JK,Baramulla,-3.9,-6.7,-1.7,4.7,1013.3,2652,34.05,74.4,3.5
11/02/2022,February,Winter,Gulmarg,JK,Baramulla,-2.9,-7.0,-0.2,3.6,1018.4,2652,34.05,74.4,0.0
16/02/2022,February,Winter,Gulmarg,JK,Baramulla,-3.7,-6.4,0.8,3.4,1012.9,2652,34.05,74.4,0.6
21/02/2022,February,Winter,Gulmarg,JK,Baramulla,-1.3,-5.4,2.6,3.5,1008.5,2652,34.05,74.4,0.0
26/02/2022,February,Winter,Gulmarg,JK,Baramulla,-4.7,-6.5,-2.4,3.4,1018.9,2652,34.05,74.4,3.9
03/03/2022,March,Winter,Gulmarg,JK,Baramulla,-2.1,-3.0,-0.6,3.6,1018.6,2652,34.05,74.4,9.8
08/03/2022,March,Winter,Gulmarg,JK,Baramulla,1.5,-1.6,3.2,1.8,1024.7,2652,34.05,74.4,0.0
13/03/2022,March,Winter,Gulmarg,JK,Baramulla,8.1,4.4,12.0,1.7,1024.1,2652,34.05,74.4,0.0
18/03/2022,March,Winter,Gulmarg,JK,Baramulla,9.1,4.3,14.2,4.9,1022.1,2652,34.05,74.4,0.3
23/03/2022,March,Winter,Gulmarg,JK,Baramulla,6.1,1.7,10.6,3.6,1017.6,2652,34.05,74.4,2.4
28/03/2022,March,Winter,Gulmarg,JK,Baramulla,7.5,4.1,14.0,4.3,1021.8,2652,34.05,74.4,0.0
02/04/2022,April,Summer,Gulmarg,JK,Baramulla,8.6,2.7,12.1,3.8,1019.2,2652,34.05,74.4,1.0
07/04/2022,April,Summer,Gulmarg,JK,Baramulla,10.2,7.7,14.0,3.7,1022.1,2652,34.05,74.4,0.0
12/04/2022,April,Summer,Gulmarg,JK,Baramulla,10.6,5.4,15.6,2.7,1020.7,2652,34.05,74.4,4.4
17/04/2022,April,Summer,Gulmarg,JK,Baramulla,10.8,7.0,15.0,4.4,1019.0,2652,34.05,74.4,0.2
22/04/2022,April,Summer,Gulmarg,JK,Baramulla,4.9,2.3,7.6,2.2,1021.3,2652,34.05,74.4,5.1
27/04/2022,April,Summer,Gulmarg,JK,Baramulla,12.1,9.1,15.9,3.1,1021.3,2652,34.05,74.4,0.2
02/05/2022,May,Summer,Gulmarg,JK,Baramulla,14.3,11.6,17.2,4.2,1014.7,2652,34.05,74.4,0.7
07/05/2022,May,Summer,Gulmarg,JK,Baramulla,11.0,8.1,14.5,3.1,1020.3,2652,34.05,74.4,0.0
12/05/2022,May,Summer,Gulmarg,JK,Baramulla,13.8,9.3,17.3,4.1,1016.1,2652,34.05,74.4,0.6
17/05/2022,May,Summer,Gulmarg,JK,Baramulla,11.5,7.4,15.2,2.7,1014.9,2652,34.05,74.4,3.8
22/05/2022,May,Summer,Gulmarg,JK,Baramulla,9.1,7.0,12.5,2.4,1002.8,2652,34.05,74.4,6.9
29/05/2022,May,Summer,Gulmarg,JK,Baramulla,11.7,8.3,15.4,2.7,1011.6,2652,34.05,74.4,1.6
03/06/2022,June,Summer,Gulmarg,JK,Baramulla,12.0,9.7,16.2,3.2,1016.5,2652,34.05,74.4,5.2
08/06/2022,June,Summer,Gulmarg,JK,Baramulla,14.0,10.9,17.7,3.6,1015.9,2652,34.05,74.4,6.7
13/06/2022,June,Summer,Gulmarg,JK,Baramulla,14.1,11.1,16.7,3.6,1018.4,2652,34.05,74.4,4.3
18/06/2022,June,Summer,Gulmarg,JK,Baramulla,10.4,6.6,14.0,2.6,1008.7,2652,34.05,74.4,11.8
23/06/2022,June,Summer,Gulmarg,JK,Baramulla,10.7,5.1,14.8,2.7,1018.0,2652,34.05,74.4,1.9
28/06/2022,June,Summer,Gulmarg,JK,Baramulla,17.8,12.0,21.9,3.9,1012.3,2652,34.05,74.4,0.6
03/07/2022,July,Monsoon,Gulmarg,JK,Baramulla,18.5,16.2,22.0,2.6,1010.2,2652,34.05,74.4,5.3
08/07/2022,July,Monsoon,Gulmarg,JK,Baramulla,17.4,13.8,20.5,2.8,1013.9,2652,34.05,74.4,3.4
13/07/2022,July,Monsoon,Gulmarg,JK,Baramulla,14.2,10.9,17.9,1.7,1009.5,2652,34.05,74.4,3.5
18/07/2022,July,Monsoon,Gulmarg,JK,Baramulla,17.5,13.4,21.0,3.2,1016.0,2652,34.05,74.4,0.5
23/07/2022,July,Monsoon,Gulmarg,JK,Baramulla,16.5,15.2,18.0,2.5,1015.4,2652,34.05,74.4,10.3
28/07/2022,July,Monsoon,Gulmarg,JK,Baramulla,15.8,14.8,17.7,2.0,1017.6,2652,34.05,74.4,18.8
02/08/2022,August,Monsoon,Gulmarg,JK,Baramulla,14.7,9.5,18.8,2.2,1011.4,2652,34.05,74.4,0.1
07/08/2022,August,Monsoon,Gulmarg,JK,Baramulla,16.7,13.4,20.1,2.6,1008.6,2652,34.05,74.4,3.7
12/08/2022,August,Monsoon,Gulmarg,JK,Baramulla,15.7,12.6,18.1,2.5,1014.6,2652,34.05,74.4,7.9
17/08/2022,August,Monsoon,Gulmarg,JK,Baramulla,14.8,12.5,16.9,2.4,1017.8,2652,34.05,74.4,11.4
22/08/2022,August,Monsoon,Gulmarg,JK,Baramulla,15.4,10.2,19.4,2.7,1012.4,2652,34.05,74.4,0.4
27/08/2022,August,Monsoon,Gulmarg,JK,Baramulla,15.1,10.9,18.7,1.8,1015.5,2652,34.05,74.4,4.5
01/09/2022,September,Monsoon,Gulmarg,JK,Baramulla,14.9,10.0,18.4,3.0,1014.7,2652,34.05,74.4,0.5
06/09/2022,September,Monsoon,Gulmarg,JK,Baramulla,13.1,8.4,16.7,2.7,1018.5,2652,34.05,74.4,1.3
11/09/2022,September,Monsoon,Gulmarg,JK,Baramulla,12.3,9.2,15.8,2.5,1017.0,2652,34.05,74.4,6.5
16/09/2022,September,Monsoon,Gulmarg,JK,Baramulla,14.4,11.8,17.8,4.2,1007.1,2652,34.05,74.4,3.3
21/09/2022,September,Monsoon,Gulmarg,JK,Baramulla,12.7,8.0,17.0,2.8,1018.0,2652,34.05,74.4,2.6
26/09/2022,September,Monsoon,Gulmarg,JK,Baramulla,10.7,5.1,14.9,3.6,1019.6,2652,34.05,74.4,0.9
01/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,11.3,6.4,14.6,2.7,1017.3,2652,34.05,74.4,0.6
06/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,10.1,6.5,14.2,3.4,1020.1,2652,34.05,74.4,0.4
11/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,7.1,3.8,10.8,2.7,1019.0,2652,34.05,74.4,2.8
16/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,10.3,5.7,14.2,3.5,1023.3,2652,34.05,74.4,0.0
21/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,2.8,0.0,5.1,3.8,1029.3,2652,34.05,74.4,0.0
26/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,7.1,4.5,10.5,2.5,1023.7,2652,34.05,74.4,0.0
31/10/2022,October,Post-monsoon,Gulmarg,JK,Baramulla,6.9,4.0,10.3,2.7,1025.0,2652,34.05,74.4,12.9
05/11/2022,November,Post-monsoon,Gulmarg,JK,Baramulla,6.2,3.9,8.1,2.7,1027.0,2652,34.05,74.4,2.5
10/11/2022,November,Post-monsoon,Gulmarg,JK,Baramulla,-1.4,-7.0,2.3,3.0,1025.0,2652,34.05,74.4,0.0
15/11/2022,November,Post-monsoon,Gulmarg,JK,Baramulla,-0.9,-5.9,1.0,2.3,1022.1,2652,34.05,74.4,0.0
20/11/2022,November,Post-monsoon,Gulmarg,JK,Baramulla,-0.4,-2.1,1.4,2.5,1022.3,2652,34.05,74.4,0.0
25/11/2022,November,Post-monsoon,Gulmarg,JK,Baramulla,5.1,2.0,7.1,2.4,1026.2,2652,34.05,74.4,0.0
30/11/2022,November,Post-monsoon,Gulmarg,JK,Baramulla,3.8,1.8,5.8,2.9,1023.7,2652,34.05,74.4,0.0
05/12/2022,December,Winter,Gulmarg,JK,Baramulla,-0.2,-4.8,2.9,3.4,1022.0,2652,34.05,74.4,0.0
10/12/2022,December,Winter,Gulmarg,JK,Baramulla,-3.1,-7.5,0.5,4.2,1021.4,2652,34.05,74.4,2.7
15/12/2022,December,Winter,Gulmarg,JK,Baramulla,2.7,-1.4,4.1,2.2,1020.1,2652,34.05,74.4,0.0
20/12/2022,December,Winter,Gulmarg,JK,Baramulla,-2.1,-6.6,1.8,3.5,1014.7,2652,34.05,74.4,0.0
25/12/2022,December,Winter,Gulmarg,JK,Baramulla,-3.1,-4.9,0.0,2.5,1018.6,2652,34.05,74.4,0.0
30/12/2022,December,Winter,Gulmarg,JK,Baramulla,-4.0,-6.9,-2.6,3.4,1022.2,2652,34.05,74.4,2.8
04/01/2023,January,Winter,Gulmarg,JK,Baramulla,-3.3,-6.4,-1.7,2.7,1026.2,2652,34.05,74.4,0.0
09/01/2023,January,Winter,Gulmarg,JK,Baramulla,-0.9,-3.4,1.4,3.6,1023.7,2652,34.05,74.4,0.2
14/01/2023,January,Winter,Gulmarg,JK,Baramulla,-9.2,-15.8,-5.6,6.5,1014.1,2652,34.05,74.4,0.1
19/01/2023,January,Winter,Gulmarg,JK,Baramulla,-6.9,-8.7,-4.0,4.9,1019.8,2652,34.05,74.4,1.4
24/01/2023,January,Winter,Gulmarg,JK,Baramulla,-6.2,-10.1,-2.8,6.3,1010.2,2652,34.05,74.4,1.8
29/01/2023,January,Winter,Gulmarg,JK,Baramulla,-2.0,-6.0,1.2,5.2,1010.6,2652,34.05,74.4,3.7
03/02/2023,February,Winter,Gulmarg,JK,Baramulla,-1.4,-3.6,1.6,5.7,1021.1,2652,34.05,74.4,4.9
08/02/2023,February,Winter,Gulmarg,JK,Baramulla,-3.1,-6.0,0.0,6.2,1015.5,2652,34.05,74.4,3.2
13/02/2023,February,Winter,Gulmarg,JK,Baramulla,-0.9,-9.0,2.9,7.3,1018.5,2652,34.05,74.4,0.0
18/02/2023,February,Winter,Gulmarg,JK,Baramulla,4.9,2.7,7.7,6.6,1024.5,2652,34.05,74.4,0.0
23/02/2023,February,Winter,Gulmarg,JK,Baramulla,0.3,-2.2,4.8,6.0,1020.7,2652,34.05,74.4,0.0
28/02/2023,February,Winter,Gulmarg,JK,Baramulla,-1.2,-2.3,0.1,4.3,1026.6,2652,34.05,74.4,0.8
05/03/2023,March,Winter,Gulmarg,JK,Baramulla,-0.4,-5.3,5.0,6.4,1030.1,2652,34.05,74.4,0.0
10/03/2023,March,Winter,Gulmarg,JK,Baramulla,5.0,3.2,9.0,4.7,1025.2,2652,34.05,74.4,0.0
15/03/2023,March,Winter,Gulmarg,JK,Baramulla,4.4,0.7,6.4,5.5,1016.0,2652,34.05,74.4,0.0
20/03/2023,March,Winter,Gulmarg,JK,Baramulla,1.3,-2.3,4.8,4.9,1008.8,2652,34.05,74.4,1.2
25/03/2023,March,Winter,Gulmarg,JK,Baramulla,0.4,-0.5,1.0,4.5,1013.1,2652,34.05,74.4,19.7
30/03/2023,March,Winter,Gulmarg,JK,Baramulla,3.9,1.6,6.2,5.0,1015.9,2652,34.05,74.4,4.6
04/04/2023,April,Summer,Gulmarg,JK,Baramulla,0.8,-2.5,3.6,5.9,1013.1,2652,34.05,74.4,3.6
09/04/2023,April,Summer,Gulmarg,JK,Baramulla,6.7,4.4,11.0,5.4,1025.9,2652,34.05,74.4,1.9
14/04/2023,April,Summer,Gulmarg,JK,Baramulla,9.5,6.9,15.8,6.1,1025.6,2652,34.05,74.4,0.0
19/04/2023,April,Summer,Gulmarg,JK,Baramulla,3.9,3.1,5.3,6.1,1012.2,2652,34.05,74.4,31.9
24/04/2023,April,Summer,Gulmarg,JK,Baramulla,8.5,6.5,13.0,5.5,1021.6,2652,34.05,74.4,0.0
29/04/2023,April,Summer,Gulmarg,JK,Baramulla,6.0,1.0,9.5,6.1,1017.7,2652,34.05,74.4,0.2
04/05/2023,May,Summer,Gulmarg,JK,Baramulla,4.3,-0.4,8.1,5.2,1018.4,2652,34.05,74.4,1.2
09/05/2023,May,Summer,Gulmarg,JK,Baramulla,3.5,-0.4,6.8,6.0,1018.9,2652,34.05,74.4,0.6
14/05/2023,May,Summer,Gulmarg,JK,Baramulla,7.3,2.6,10.4,5.3,1017.2,2652,34.05,74.4,11.0
19/05/2023,May,Summer,Gulmarg,JK,Baramulla,8.3,2.9,11.7,5.6,1020.1,2652,34.05,74.4,0.8
24/05/2023,May,Summer,Gulmarg,JK,Baramulla,8.4,6.3,10.5,5.4,1014.8,2652,34.05,74.4,23.9
29/05/2023,May,Summer,Gulmarg,JK,Baramulla,9.7,5.0,13.8,5.6,1020.9,2652,34.05,74.4,6.3
03/06/2023,June,Summer,Gulmarg,JK,Baramulla,8.1,3.0,12.5,5.5,1015.5,2652,34.05,74.4,5.4
08/06/2023,June,Summer,Gulmarg,JK,Baramulla,12.7,6.0,16.6,6.7,1014.8,2652,34.05,74.4,0.0
13/06/2023,June,Summer,Gulmarg,JK,Baramulla,12.7,8.0,16.9,5.0,1012.0,2652,34.05,74.4,2.3
18/06/2023,June,Summer,Gulmarg,JK,Baramulla,15.6,12.1,18.9,5.5,1013.8,2652,34.05,74.4,0.9
23/06/2023,June,Summer,Gulmarg,JK,Baramulla,19.8,15.9,23.3,6.5,1015.6,2652,34.05,74.4,0.4
28/06/2023,June,Summer,Gulmarg,JK,Baramulla,14.9,10.7,18.4,5.1,1017.0,2652,34.05,74.4,5.1
03/07/2023,July,Monsoon,Gulmarg,JK,Baramulla,16.8,12.0,20.9,5.9,1011.6,2652,34.05,74.4,5.2
08/07/2023,July,Monsoon,Gulmarg,JK,Baramulla,12.2,9.0,14.2,4.6,1015.4,2652,34.05,74.4,25.4
13/07/2023,July,Monsoon,Gulmarg,JK,Baramulla,18.8,15.6,22.6,7.0,1010.4,2652,34.05,74.4,0.0
18/07/2023,July,Monsoon,Gulmarg,JK,Baramulla,18.2,14.2,21.7,5.5,1011.4,2652,34.05,74.4,1.2
23/07/2023,July,Monsoon,Gulmarg,JK,Baramulla,15.6,13.2,17.5,4.7,1021.0,2652,34.05,74.4,18.2
28/07/2023,July,Monsoon,Gulmarg,JK,Baramulla,15.3,12.5,18.1,5.1,1009.7,2652,34.05,74.4,11.5
02/08/2023,August,Monsoon,Gulmarg,JK,Baramulla,18.0,15.3,21.3,5.5,1008.5,2652,34.05,74.4,10.5
07/08/2023,August,Monsoon,Gulmarg,JK,Baramulla,15.6,12.0,20.0,5.7,1006.2,2652,34.05,74.4,0.4
12/08/2023,August,Monsoon,Gulmarg,JK,Baramulla,17.3,13.2,21.4,6.3,1013.3,2652,34.05,74.4,1.2
17/08/2023,August,Monsoon,Gulmarg,JK,Baramulla,16.5,11.7,20.6,5.9,1015.2,2652,34.05,74.4,0.7
22/08/2023,August,Monsoon,Gulmarg,JK,Baramulla,18.2,13.8,22.7,7.7,1011.0,2652,34.05,74.4,1.0
27/08/2023,August,Monsoon,Gulmarg,JK,Baramulla,12.8,9.0,16.8,6.0,1010.1,2652,34.05,74.4,2.7
01/09/2023,September,Monsoon,Gulmarg,JK,Baramulla,16.8,11.6,20.8,6.3,1014.5,2652,34.05,74.4,1.1
06/09/2023,September,Monsoon,Gulmarg,JK,Baramulla,14.2,9.1,18.1,5.7,1021.2,2652,34.05,74.4,1.8
11/09/2023,September,Monsoon,Gulmarg,JK,Baramulla,17.7,13.3,23.1,7.5,1013.9,2652,34.05,74.4,0.0
16/09/2023,September,Monsoon,Gulmarg,JK,Baramulla,15.4,13.0,18.0,5.6,1017.2,2652,34.05,74.4,1.7
21/09/2023,September,Monsoon,Gulmarg,JK,Baramulla,13.9,8.8,18.7,5.7,1017.3,2652,34.05,74.4,0.2
26/09/2023,September,Monsoon,Gulmarg,JK,Baramulla,11.2,6.4,15.2,6.1,1021.1,2652,34.05,74.4,0.4
01/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,11.3,8.5,14.9,6.3,1017.7,2652,34.05,74.4,1.3
06/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,14.1,9.7,18.6,6.3,1014.2,2652,34.05,74.4,0.0
11/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,11.1,6.9,15.0,7.6,1020.3,2652,34.05,74.4,0.0
16/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,3.8,1.4,5.0,5.4,1019.1,2652,34.05,74.4,28.3
21/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,5.6,0.9,9.4,4.7,1025.7,2652,34.05,74.4,0.6
26/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,7.7,4.8,11.0,5.1,1023.2,2652,34.05,74.4,0.3
31/10/2023,October,Post-monsoon,Gulmarg,JK,Baramulla,8.8,5.4,11.7,5.1,1026.2,2652,34.05,74.4,0.8
